Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Esposito, Giovanni; Donnet, Sebastien; Berta, Maristella; Shcherbina, Andrey Y; Freilich, Mara; Centurioni, Luca; D’Asaro, Eric A; Farrar, J Thomas; Johnston, TM Shaun; Mahadevan, Amala; ",Inertial oscillations and frontal processes in an Alboran Sea jet: Effects on divergence and vertical transport,Journal of Geophysical Research: Oceans,128,3,e2022JC019004,2023,
"Freilich, Mara; Lenain, Luc; Gille, Sarah; ",Characterizing the Role of Non-Linear Interactions in the Transition to Submesoscale Dynamics at a Dense Filament,Geophysical Research Letters,50,15,e2023GL103745,2023,
"Arboleda-Baena, Clara; Freilich, Mara; Pareja, Claudia Belén; Logares, Ramiro; De la Iglesia, Rodrigo; Navarrete, Sergio A; ",Microbial community and network responses across strong environmental gradients: How do they compare with macroorganisms?,FEMS Microbiology Ecology,100,3,fiae017,2024,Oxford University Press
"Cao, Haijin; Freilich, Mara; Song, Xiangzhou; Jing, Zhiyou; Fox‐Kemper, Baylor; Qiu, Bo; Hetland, Robert D; Chai, Fei; Ruiz, Simón; Chen, Dake; ",Isopycnal submesoscale stirring crucially sustaining subsurface chlorophyll maximum in ocean cyclonic eddies,Geophysical Research Letters,51,4,e2023GL105793,2024,Wiley Online Library
"Hsu, Tien-Yiao; Mazloff, Matthew R; Gille, Sarah T; Freilich, Mara A; Sun, Rui; Cornuelle, Bruce D; ",Response of sea surface temperature to atmospheric rivers,Nature Communications,15,1,5018,2024,Nature Publishing Group UK London
"Torres, Hector S; Wineteer, Alexander; Rodriguez, Ernesto; Klein, Patrice; Thompson, Andrew F; Perkovic‐Martin, Dragana; Molemaker, Jeroen; Hypolite, Delphine; Callies, Joern; Farrar, J Thomas; ",Submesoscale eddy contribution to ocean vertical heat flux diagnosed from airborne observations,Geophysical Research Letters,52,2,e2024GL112278,2025,
"Pillar, Helen R; Hetherington, Elizabeth; Levin, Lisa A; Cimoli, Laura; Lauderdale, Jonathan M; van der Grient, Jesse MA; Johannes, Kristen; Heimbach, Patrick; Smith, Leslie; Addey, Charles I; ",Future directions for deep ocean climate science and evidence-based decision making,Frontiers in Climate,6,,1445694,2024,Frontiers Media SA
"Centeno, Diego; Arzeno-Soltero, Isabella; Delgado, Andrea; Freilich, Mara; Marquez, Cruz; Montgomery, Quinn; Palomino, Aydee; Penalber, Gwen; Sinclair, Ryan; Taboada, Juliana; ",Salton Sea environmental work and the importance of community science,Oceanography,36,4,,2023,The Oceanography Society
"Martin, Adrian P; Dominguez, Angela Bahamondes; Baker, Chelsey A; Baumas, Chloé MJ; Bisson, Kelsey M; Cavan, Emma; Freilich, Mara; Galbraith, Eric; Galí, Martí; Henson, Stephanie; ",When to add a new process to a model–and when not: A marine biogeochemical perspective,Ecological Modelling,498,,110870,2024,Elsevier
"Duffy, Margaret L; Barnes, Liza Y; Wirz, Christopher D; Ranganathan, Meghana; Freilich, Mara A; Freese, Lyssa M; Lalk, Ellen; Wilcots, Julia; ",Factors influencing underrepresented geoscientists' decisions to accept or decline faculty job offers in the US,Communications Earth & Environment,6,1,65,2025,Nature Publishing Group UK London
"Hung, Caroline; Diamond, Charles; Sinclair, Ryan; Lee, Meng-Chen; Stenstrom, Michael; Freilich, Mara A; Montgomery, Quinn; Marquez, Consuelo; Lyons, Timothy W; ",Nutrient loading as a key cause of short-and long-term anthropogenic ecological degradation of the Salton Sea,Scientific Reports,14,1,31247,2024,Nature Publishing Group UK London
"Centeno, Diego; Lopez, Alejandra G; Palomino, Aydee; Taboada, Juliana; Sinclair, Ryan; Montgomery, Quinn; Marquez, Consuelo; Sanchez, Migdalia N; Arzeno‐Soltero, Isabella B; Freilich, Mara A; ","Hypereutrophication, hydrogen sulfide, and environmental injustices: Mechanisms and knowledge gaps at the Salton Sea",GeoHealth,9,6,e2024GH001327,2025,
"Dove, Lilian; Freilich, Mara; Siegelman, Lia; Fox-Kemper, Baylor; Hall, Paul; ",Pycnocline stratification shapes submesoscale vertical tracer transport,,,,,2024,EarthArXiv
"Farrar, J Thomas; D’Asaro, Eric; Rodríguez, Ernesto; Shcherbina, Andrey; Lenain, Luc; Omand, Melissa; Wineteer, Alex; Bhuyan, Paban; Bingham, Fred; Villas Boas, AB; ",S-mode: the sub-mesoscale ocean dynamics experiment,Bulletin of the American Meteorological Society,106,4,E657-E677,2025,American Meteorological Society
"Seitz, Lulabel R; Freilich, Mara A; ",Joint effects of submesoscale lateral dispersion and biological reactions on biogeochemical flux,Geophysical Research Letters,52,7,e2024GL114112,2025,Wiley Online Library
"Gonzalez, Margaret; Dove, Lilian A; Freilich, Mara A; ",Distribution and transport of Antarctic winter water biogeochemical properties,Geophysical Research Letters,52,8,e2025GL114950,2025,
"Testa, Giovanni; Dever, Mathieu; Freilich, Mara; Mahadevan, Amala; Johnston, TM Shaun; Pasculli, Lorenzo; Falcieri, Francesco M; ",Turbulent erosion of a subducting intrusion in the Western Mediterranean Sea,Ocean Science,21,3,989-1002,2025,"Copernicus Publications Göttingen, Germany"
